10|32|20|8
20|33|13|8
30|47|18|18
40|78|29|27
50|101|32|48
60|29|45|57
70|33|64|74
80|37|71|93
90|45|44|119
100|55|19|144
110|55|21|171
120|57|21|200
130|62|23|228
140|70|24|261
150|4751|22|220
160|69|25|245
170|70|26|281
180|72|25|320
190|79|25|351
200|81|29|378
210|90|41|433
220|314|31|460
230|351|38|535
240|374|40|583
250|390|37|647
260|432|41|695
270|441|45|780
280|458|54|865
290|434|20|926
300|476|22|957
310|511|22|1034
320|106|24|1089
330|112|24|1146
340|102|25|253
350|102|25|220
360|120|26|271
370|124|27|272
380|118|28|288
390|127|30|316
400|116|30|322
410|136|30|347
420|140|32|362
430|140|33|384
440|143|32|1493
450|144|35|188
460|145|33|48
470|153|35|53
480|153|35|55
490|106|28|33
500|107|28|34
510|108|29|36
520|111|29|38
530|114|30|40
540|115|30|40
550|117|30|41
560|119|32|43
570|123|32|45
580|125|32|46
590|127|33|47
600|129|33|49
610|130|34|50
620|133|33|51
630|134|36|53
640|135|35|55
650|139|36|57
660|142|38|58
670|144|37|59
680|144|37|61
690|154|40|63
700|149|40|64
710|151|40|67
720|160|40|69
730|155|41|70
740|156|42|71
750|160|42|75
760|160|42|76
770|178|46|77
780|169|46|80
790|170|45|81
800|173|47|83
810|173|47|86
820|176|47|87
830|177|47|90
840|182|47|92
850|184|49|93
860|185|50|96
870|188|50|98
880|189|50|100
890|191|51|102
900|194|57|104
910|206|54|105
920|129|54|108
930|115|55|110
940|116|55|114
950|126|55|116
960|118|55|118
970|120|57|123
980|121|56|127
990|124|59|128
1000|124|58|130
1010|126|59|130
1020|126|59|132
1030|136|61|135
1040|135|60|137
1050|140|63|140
1060|137|62|142
1070|143|63|146
1080|140|64|148
1090|140|65|150
1100|141|64|153
1110|2940|93|270
1120|217|90|273
1130|220|92|279
1140|224|91|282
1150|222|92|288
1160|230|95|293
1170|224|95|298
1180|235|96|300
1190|223|96|295
1200|236|98|275
1210|340|84|212
1220|218|92|231
1230|220|90|302
1240|228|92|241
1250|366|87|230
1260|228|95|246
1270|235|101|344
1280|330|101|310
1290|235|94|338
1300|483|104|406
1310|387|107|368
1320|248|101|302
1330|241|104|367
1340|252|105|269
1350|241|83|229
1360|245|110|408
1370|246|85|234
1380|253|112|412
1390|237|94|285
1400|244|89|293
1410|244|87|248
1420|245|87|251
1430|238|88|256
1440|246|87|259
1450|246|91|262
1460|270|121|291
1470|273|119|467
1480|246|93|274
1490|244|92|278
1500|209|91|281
1510|210|93|285
1520|258|118|408
1530|251|95|293
1540|216|95|296
1550|216|99|299
1560|219|98|303
1570|217|98|305
1580|221|97|310
1590|218|101|314
1600|222|99|318
1610|268|110|336
1620|268|112|343
1630|376|127|492
1640|260|120|350
1650|290|110|349
1660|245|113|403
1670|262|111|357
1680|279|104|414
1690|266|107|353
1700|247|107|405
1710|279|108|364
1720|277|128|374
1730|245|107|370
1740|298|132|389
1750|283|111|380
1760|339|115|414
1770|244|111|388
1780|252|111|393
1790|250|115|398
1800|286|115|403
1810|254|115|406
1820|269|115|410
1830|257|114|415
1840|249|116|419
1850|254|116|425
1860|298|117|428
1870|258|119|432
1880|262|120|437
1890|302|135|441
1900|263|119|447
1910|268|122|451
1920|264|122|455
1930|322|133|475
1940|308|122|463
1950|305|127|468
1960|315|136|488
1970|306|128|477
1980|276|125|482
1990|279|127|488
2000|282|125|492
2010|278|127|496
2020|282|131|500
2030|279|129|506
2040|326|142|527
2050|392|153|542
2060|373|169|559
2070|347|153|551
2080|367|145|566
2090|370|152|576
2100|370|148|575
2110|362|155|780
2120|368|151|900
2130|396|161|844
2140|378|175|688
2150|370|157|600
2160|367|152|612
2170|382|149|613
2180|347|150|620
2190|360|139|588
2200|316|140|593
2210|356|141|598
2220|359|151|619
2230|353|177|619
2240|347|158|709
2250|409|182|763
2260|351|152|634
2270|337|153|640
2280|325|157|645
2290|342|157|650
2300|353|162|664
2310|360|156|660
2320|353|152|666
2330|397|156|675
2340|355|155|678
2350|333|159|683
2360|348|153|694
2370|351|161|693
2380|367|197|697
2390|356|152|694
2400|341|151|700
2410|380|162|716
2420|362|164|723
2430|359|161|743
2440|363|162|734
2450|364|160|731
2460|344|155|736
2470|461|204|743
2480|388|159|748
2490|469|166|756
2500|405|162|759
2510|468|163|766
2520|364|163|772
2530|383|164|778
2540|482|215|1068
2550|414|174|840
2560|502|222|1385
2570|428|214|983
2580|397|183|868
2590|394|165|816
2600|373|166|882
2610|516|172|829
2620|412|168|835
2630|380|171|934
2640|381|168|880
2650|380|171|854
2660|544|186|869
2670|423|185|874
2680|419|170|872
2690|427|182|1019
2700|387|188|899
2710|430|187|907
2720|406|175|899
2730|390|173|907
2740|392|179|912
2750|497|176|920
2760|387|175|925
2770|396|175|946
2780|398|180|939
2790|397|181|943
2800|399|179|949
2810|401|179|956
2820|435|182|965
2830|411|184|971
2840|404|182|978
2850|406|186|985
2860|410|187|1021
2870|410|184|1000
2880|413|187|1008
2890|562|237|1039
2900|419|189|1022
2910|421|193|1029
2920|417|190|1034
2930|418|187|1040
2940|420|190|1075
2950|435|199|1061
2960|440|200|1068
2970|436|199|1075
2980|442|202|1084
2990|437|196|1090
3000|430|205|1094
3010|441|201|1102
3020|442|264|1104
3030|468|205|1112
3040|451|197|1106
3050|447|210|1119
3060|448|207|1131
3070|449|206|1137
3080|450|208|1144
3090|455|210|1159
3100|456|206|1157
3110|455|208|1168
3120|459|210|1176
3130|461|216|1183
3140|473|214|1197
3150|479|216|1195
3160|466|211|1206
3170|599|455|1219
3180|457|239|1240
3190|460|208|1277
3200|448|217|1269
3210|481|218|1265
3220|457|208|1243
3230|543|206|1300
3240|453|249|1309
3250|455|250|1316
3260|508|239|1305
3270|516|217|1278
3280|524|218|1287
3290|471|215|1403
3300|461|213|1300
3310|495|212|1308
3320|492|220|1316
3330|473|259|1324
3340|502|215|1335
3350|552|218|1441
3360|501|225|1350
3370|504|222|1357
3380|505|224|1368
3390|505|222|1379
3400|509|217|1383
3410|509|220|1391
3420|876|246|1412
3430|487|225|1409
3440|516|222|1418
3450|517|224|1426
3460|518|223|1436
3470|521|225|1440
3480|557|229|1448
3490|520|231|1457
3500|517|228|1493
3510|525|253|1477
3520|526|230|1481
3530|522|228|1491
3540|595|277|1501
3550|541|236|1508
3560|537|232|1515
3570|529|233|1539
3580|537|230|1531
3590|538|232|1538
3600|557|235|1547
3610|550|235|1553
3620|543|240|1560
3630|547|237|1566
3640|538|235|1573
3650|547|238|1733
3660|558|237|1592
3670|549|243|1600
3680|552|235|1644
3690|557|241|1683
3700|557|238|1698
3710|524|247|1665
3720|563|244|1743
3730|530|273|1655
3740|579|289|1692
3750|532|244|1762
3760|638|248|1704
3770|544|249|1764
3780|557|251|1699
3790|574|245|1738
3800|575|250|1750
3810|572|248|1745
3820|541|297|1788
3830|544|251|1788
3840|546|254|1790
3850|582|251|1761
3860|594|254|1967
3870|548|253|1816
3880|584|256|1784
3890|585|252|1790
3900|585|255|1799
3910|587|257|1867
3920|584|257|1852
3930|592|256|1827
